Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Time,NEW,SAME,EXCLUDED
0.0,0.0,0.0,0.0,03_37 - 05_16,22,254,9
1.0,1.0,1.0,1.0,05_16 - 22_37,17,213,63
2.0,2.0,2.0,2.0,22_37 - 16_40,15,168,62
3.0,3.0,3.0,3.0,16_40 - 12_32,15,139,44
4.0,4.0,4.0,4.0,12_32 - 11_37,16,144,10
5.0,5.0,5.0,5.0,11_37 - 19_13,73,123,37
6.0,6.0,6.0,6.0,19_13 - 15_37,11,164,32
7.0,7.0,7.0,7.0,15_37 - 06_38,134,145,30
8.0,8.0,8.0,8.0,06_38 - 07_15,4,277,2
9.0,9.0,9.0,9.0,07_15 - 05_37,6,271,10
10.0,10.0,10.0,10.0,05_37 - 18_21,21,169,108
11.0,11.0,11.0,11.0,18_21 - 13_38,17,139,51
12.0,12.0,12.0,12.0,13_38 - 02_46,132,132,24
13.0,13.0,13.0,13.0,02_46 - 04_37,18,252,12
14.0,14.0,14.0,14.0,04_37 - 16_22,26,156,114
15.0,15.0,15.0,15.0,16_22 - 10_59,34,125,57
16.0,16.0,16.0,16.0,10_59 - 07_37,187,98,61
17.0,17.0,17.0,17.0,07_37 - 17_15,29,156,129
18.0,18.0,18.0,18.0,17_15 - 19_38,21,176,9
19.0,19.0,19.0,19.0,19_38 - 01_24,65,186,11
20.0,20.0,20.0,20.0,01_24 - 06_22,47,233,18
21.0,21.0,21.0,21.0,06_22 - 20_17,22,178,102
22.0,22.0,22.0,22.0,20_17 - 08_15,118,172,28
23.0,23.0,23.0,23.0,08_15 - 23_19,25,212,78
24.0,24.0,24.0,24.0,23_19 - 14_15,18,143,94
25.0,25.0,25.0,25.0,14_15 - 11_13,29,133,28
26.0,26.0,26.0,26.0,11_13 - 23_37,119,118,44
27.0,27.0,27.0,27.0,23_37 - 15_17,17,155,82
28.0,28.0,28.0,28.0,15_17 - 22_16,73,157,15
29.0,29.0,29.0,29.0,22_16 - 20_37,4,201,29
30.0,30.0,30.0,30.0,20_37 - 03_18,72,191,14
31.0,31.0,31.0,31.0,03_18 - 04_20,13,256,7
32.0,32.0,32.0,32.0,04_20 - 02_21,11,249,20
33.0,33.0,33.0,33.0,02_21 - 14_38,21,145,115
34.0,34.0,34.0,34.0,14_38 - 18_38,39,153,13
35.0,35.0,35.0,35.0,18_38 - 21_14,27,186,6
36.0,36.0,36.0,36.0,21_14 - 11_14,42,120,93
37.0,37.0,37.0,37.0,11_14 - 17_37,61,124,38
38.0,38.0,38.0,38.0,17_37 - 21_38,39,177,8
39.0,39.0,39.0,,17_37 - 21_38,39,177,8
40.0,40.0,40.0,,17_37 - 21_38,39,177,8
41.0,41.0,41.0,,17_37 - 21_38,39,177,8
42.0,42.0,0.0,,08_26 - 10_40,46,276,16
43.0,0.0,,,10_40 - 10_53,2,319,3
0.0,,,,10_53 - 10_54,0,321,0
,,,,10_54 - 11_07,11,319,2
